Time,Emotion,Confidence
07:04:36 AM,,95.2
07:04:39 AM,neutral,89.3
07:04:44 AM,neutral,99.1
07:04:49 AM,neutral,59.8
07:04:55 AM,neutral,93.4
07:05:00 AM,neutral,97.7
07:05:01 AM,happy,89.6
07:05:04 AM,neutral,56.7
07:05:06 AM,sad,83.1
07:05:11 AM,sad,90.1
07:05:16 AM,sad,98.1
07:05:22 AM,sad,47.3
07:05:27 AM,sad,99.7
07:05:31 AM,neutral,100.0
07:05:36 AM,neutral,72.7
07:05:41 AM,neutral,84.8
07:05:47 AM,neutral,52.6
07:05:52 AM,neutral,81.2
07:05:57 AM,neutral,88.6
07:06:03 AM,neutral,75.6
07:06:08 AM,neutral,87.7
07:06:13 AM,neutral,99.5
07:06:19 AM,neutral,93.8
07:06:24 AM,neutral,97.9
07:06:29 AM,neutral,96.0
07:06:34 AM,neutral,99.3
07:06:39 AM,neutral,38.8
07:06:53 AM,neutral,73.5
07:07:00 AM,neutral,88.8
07:07:06 AM,neutral,75.3
07:07:11 AM,neutral,70.5
07:07:16 AM,neutral,72.4
07:07:21 AM,neutral,92.0
07:07:27 AM,neutral,52.4
07:07:30 AM,sad,52.5
07:07:39 AM,sad,66.9
07:07:45 AM,sad,52.4
07:07:46 AM,fear,52.9
07:07:52 AM,fear,98.3
07:07:57 AM,fear,98.5
07:08:03 AM,fear,96.2
07:08:06 AM,neutral,99.9
07:08:12 AM,neutral,100.0
07:08:17 AM,neutral,67.5
07:08:22 AM,neutral,98.3
07:08:27 AM,neutral,79.5
07:08:33 AM,neutral,99.8
07:08:38 AM,neutral,75.2
07:08:44 AM,neutral,81.7
07:08:49 AM,neutral,70.7
07:08:54 AM,neutral,99.3
07:08:59 AM,neutral,54.1
07:09:05 AM,neutral,63.5
07:09:10 AM,neutral,84.7
07:09:15 AM,neutral,99.5
07:09:21 AM,neutral,52.2
07:09:26 AM,neutral,85.2
07:09:32 AM,neutral,73.8
07:09:33 AM,angry,99.9
07:09:38 AM,angry,51.5
07:09:44 AM,angry,88.9
07:09:50 AM,fear,74.9
07:09:53 AM,angry,81.7
07:09:56 AM,sad,57.8
07:10:03 AM,sad,57.6
07:10:08 AM,sad,99.1
07:10:15 AM,sad,92.1
07:10:20 AM,sad,80.3
07:10:25 AM,sad,55.5
07:10:31 AM,sad,98.8
07:10:36 AM,sad,100.0
07:10:37 AM,angry,100.0
07:10:43 AM,angry,71.8
07:10:48 AM,angry,99.9
07:10:53 AM,angry,91.3
07:10:59 AM,angry,54.3
07:11:04 AM,angry,99.1
07:11:09 AM,angry,99.6
07:11:14 AM,angry,81.5
07:11:20 AM,angry,62.4
